SG_UF,SG_UE,NM_UE,n_candidates_2016,top1_share_2016,margin_2016,hhi_2016,enp_2016,winner_party_2016,winner_sq_2016,winner_name_2016,code_micro,name_micro,log_pop_2010,urban_share_2010,log_income_pc_2010,share_first_time_candidates_2020,mean_prior_candidacies_2020,share_prior_winners_2020,share_career_politicians_2020,turnout_rate_2020,abstention_rate_2020,blank_share_2020,null_share_2020,incumbent_ran_2024,incumbent_won_2024,party_switch_2024
MA,07218,AXIXÁ,3,0.4922273500121448,0.0008501335924216,0.4840081431582609,2.0660809412725523,PDT,100000009129,MARIA SONIA OLIVEIRA CAMPOS,21003,Rosário,9.34110544185573,0.0,0.0437800580955365,0.8,0.3,0.2,0.0,0.9199467790220646,0.0800532209779354,0.0089188863444618,0.017958298180065,0.0,0.0,1.0
MA,07226,CACHOEIRA GRANDE,4,0.5038117335101093,0.088995691083858,0.4324931344192653,2.312175432201393,PMDB,100000004423,ANTONIO ATAIDE MATOS DE PINHO,21003,Rosário,9.04038207416563,0.0,0.0,0.0,1.5,0.5,0.0,0.7980278422273782,0.2019721577726218,0.0031981392644279,0.0174443959877889,0.0,0.0,1.0
MA,07234,BACABAL,12,0.3243795052709065,0.0352504895901331,0.257755714036471,3.8796424115684416,PSC,100000615480,EDVAN BRANDAO DE FARIAS,21010,Médio Mearim,11.5115745528993,0.0,0.0120436614858081,0.7857142857142857,0.2142857142857142,0.0714285714285714,0.0,0.8276246485927553,0.1723753514072446,0.0235236700829673,0.038125915080527,0.0,0.0,1.0
MA,07242,DAVINÓPOLIS,3,0.4937265415549597,0.080107238605898,0.423431618138562,2.361656421398281,PRB,100000020966,IVANILDO PAIVA BARBOSA,21009,Imperatriz,9.43803355798896,0.0,0.0,0.8181818181818182,0.1818181818181818,0.0,0.0,0.7743947476405416,0.2256052523594583,0.0103857566765578,0.0222551928783382,0.0,0.0,1.0
MA,07250,BACURI,6,0.4782147676884519,0.2051282051282051,0.3214987722156454,3.11043178519279,PDT,100000014667,WASHINGTON LUIS DE OLIVEIRA,21001,Litoral Ocidental Maranhense,9.71522840307542,0.0,0.0304954234040234,0.5,0.5,0.1666666666666666,0.0,0.7932317378550475,0.2067682621449524,0.0077568323261477,0.0258861729954,1.0,0.0,1.0
MA,07269,BOM JESUS DAS SELVAS,2,0.5080432489451476,0.0160864978902953,0.5001293877071872,1.9994825830660328,PC do B,100000002921,LUIS FERNANDO LOPES COELHO,21008,Pindaré,10.2450894669773,0.0,0.0,0.25,1.25,0.75,0.0,0.7986881223160776,0.2013118776839224,0.0037813884785819,0.0271196454948301,1.0,0.0,1.0
MA,07277,BALSAS,4,0.5383638960038081,0.1477435002380035,0.44645978998669,2.2398433687159423,PDT,100000015850,ERIK AUGUSTO COSTA E SILVA,21020,Gerais de Balsas,11.3301197910105,0.0,0.0360562984472406,0.5,0.75,0.5,0.0,0.7941658361907336,0.2058341638092664,0.0114639385754088,0.0393687389667567,1.0,0.0,1.0
MA,07285,BOM LUGAR,2,0.6496998499249624,0.2993996998499249,0.5448200901351126,1.835468291472154,PV,100000006439,LUCIENE ALVES DUARTE,21010,Médio Mearim,9.60204456483431,0.0,0.014095139053965,0.75,0.375,0.25,0.0,0.8666996536368134,0.1333003463631865,0.0061657912765471,0.033340945421329,0.0,0.0,1.0
MA,07293,BARÃO DE GRAJAÚ,2,0.5410720819612148,0.0821441639224295,0.5033738318332576,1.9865951242599549,PC do B,100000005049,GLEYDSON RESENDE DA SILVA,21018,Chapadas do Alto Itapecuru,9.78869379453405,0.0,0.0,0.8333333333333334,0.1666666666666666,0.0,0.0,0.8190601974141527,0.1809398025858473,0.0081473309004498,0.0411609946533141,0.0,0.0,1.0
MA,07307,BREJO DE AREIA,2,0.5921052631578947,0.1842105263157894,0.51696675900277,1.9343603482920295,PSDB,100000019603,FRANCISCO ALVES DA SILVA,21008,Pindaré,8.62443194208584,0.0,0.0,0.5,0.75,0.5,0.0,0.8252197874294712,0.1747802125705288,0.0042932103673079,0.0370488153919542,0.0,0.0,1.0
