municipality_id_tse,state,municipality_name,n_polls_2020,polled_2020,n_firms_2020,total_sample_2020,mean_sample_2020,total_cost_2020,mean_cost_2020,n_own_polls_2020,n_polls_last30_2020,last_poll_days_before_election_2020,n_polls_2024,polled_2024,n_firms_2024,total_sample_2024,mean_sample_2024,total_cost_2024,mean_cost_2024,n_own_polls_2024,n_polls_last30_2024,last_poll_days_before_election_2024,delta_n_polls_2024_2020,delta_polled_2024_2020,delta_n_firms_2024_2020,delta_total_sample_2024_2020,delta_mean_sample_2024_2020,delta_total_cost_2024_2020,delta_mean_cost_2024_2020,delta_n_own_polls_2024_2020,delta_n_polls_last30_2024_2020,delta_last_poll_days_before_election_2024_2020,polled_both,polled_either
01554,AC,MANOEL URBANO,1.0,1.0,1.0,100.0,100.0,2500.0,2500.0,0.0,0.0,109.0,2.0,1.0,1.0,400.0,200.0,13500.0,6750.0,1.0,2.0,23.0,1.0,0.0,0.0,300.0,100.0,11000.0,4250.0,1.0,2.0,-86.0,1,1
01570,AC,ASSIS BRASIL,0.0,0.0,0.0,0.0,,,,0.0,0.0,,2.0,1.0,2.0,400.0,200.0,14000.0,7000.0,1.0,2.0,29.0,2.0,1.0,2.0,400.0,,,,1.0,2.0,,0,1
02003,AM,APUÍ,0.0,0.0,0.0,0.0,,,,0.0,0.0,,1.0,1.0,1.0,400.0,400.0,17710.0,17710.0,0.0,0.0,45.0,1.0,1.0,1.0,400.0,,,,0.0,0.0,,0,1
02011,AM,NOVO AIRÃO,0.0,0.0,0.0,0.0,,,,0.0,0.0,,1.0,1.0,1.0,300.0,300.0,20000.0,20000.0,0.0,0.0,87.0,1.0,1.0,1.0,300.0,,,,0.0,0.0,,0,1
02046,AM,CAREIRO DA VÁRZEA,1.0,1.0,1.0,375.0,375.0,3000.0,3000.0,1.0,0.0,245.0,1.0,1.0,1.0,320.0,320.0,20000.0,20000.0,0.0,1.0,20.0,0.0,0.0,0.0,-55.0,-55.0,17000.0,17000.0,-1.0,1.0,-225.0,1,1
02070,AM,AUTAZES,7.0,1.0,4.0,3713.0,530.4285714285714,33500.0,4785.714285714285,7.0,6.0,142.0,7.0,1.0,4.0,2795.0,399.2857142857143,63000.0,9000.0,5.0,3.0,126.0,0.0,0.0,0.0,-918.0,-131.14285714285717,29500.0,4214.285714285715,-2.0,-3.0,-16.0,1,1
02097,AM,BARCELOS,3.0,1.0,2.0,1492.0,497.3333333333333,24500.0,8166.666666666667,3.0,2.0,35.0,1.0,1.0,1.0,360.0,360.0,20000.0,20000.0,0.0,0.0,86.0,-2.0,0.0,-1.0,-1132.0,-137.33333333333331,-4500.0,11833.333333333332,-3.0,-2.0,51.0,1,1
02119,AM,BARREIRINHA,1.0,1.0,1.0,255.0,255.0,4000.0,4000.0,1.0,1.0,12.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,-1.0,-1.0,-1.0,-255.0,,,,-1.0,-1.0,,0,1
02135,AM,BENJAMIN CONSTANT,1.0,1.0,1.0,350.0,350.0,17000.0,17000.0,1.0,0.0,66.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,-1.0,-1.0,-1.0,-350.0,,,,-1.0,0.0,,0,1
02151,AM,BOCA DO ACRE,1.0,1.0,1.0,300.0,300.0,4000.0,4000.0,1.0,1.0,9.0,1.0,1.0,1.0,378.0,378.0,6000.0,6000.0,1.0,1.0,27.0,0.0,0.0,0.0,78.0,78.0,2000.0,2000.0,0.0,0.0,18.0,1,1
02178,AM,BORBA,1.0,1.0,1.0,521.0,521.0,7000.0,7000.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,-1.0,-1.0,-1.0,-521.0,,,,-1.0,-1.0,,0,1
02194,AM,CANUTAMA,2.0,1.0,1.0,627.0,313.5,8100.0,4050.0,2.0,1.0,91.0,1.0,1.0,1.0,288.0,288.0,4000.0,4000.0,0.0,1.0,7.0,-1.0,0.0,0.0,-339.0,-25.5,-4100.0,-50.0,-2.0,0.0,-84.0,1,1
02232,AM,CAREIRO,4.0,1.0,2.0,1532.0,383.0,15000.0,3750.0,4.0,2.0,245.0,9.0,1.0,4.0,3536.0,392.8888888888889,70500.0,7833.333333333333,6.0,1.0,228.0,5.0,0.0,2.0,2004.0,9.888888888888914,55500.0,4083.333333333333,2.0,-1.0,-17.0,1,1
02259,AM,COARI,18.0,1.0,4.0,11093.0,616.2777777777778,161000.0,8944.444444444445,18.0,3.0,128.0,5.0,1.0,2.0,1895.0,379.0,41500.0,8300.0,5.0,2.0,162.0,-13.0,0.0,-2.0,-9198.0,-237.27777777777783,-119500.0,-644.4444444444453,-13.0,-1.0,34.0,1,1
02275,AM,CODAJÁS,1.0,1.0,1.0,418.0,418.0,5000.0,5000.0,1.0,0.0,49.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,-1.0,-1.0,-1.0,-418.0,,,,-1.0,0.0,,0,1
02330,AM,FONTE BOA,0.0,0.0,0.0,0.0,,,,0.0,0.0,,5.0,1.0,2.0,1821.0,364.2,56100.0,11220.0,3.0,0.0,238.0,5.0,1.0,2.0,1821.0,,,,3.0,0.0,,0,1
02356,AM,HUMAITÁ,1.0,1.0,1.0,391.0,391.0,4000.0,4000.0,1.0,1.0,4.0,2.0,1.0,1.0,605.0,302.5,9100.0,4550.0,1.0,0.0,146.0,1.0,0.0,0.0,214.0,-88.5,5100.0,550.0,0.0,-1.0,142.0,1,1
02410,AM,ITACOATIARA,5.0,1.0,2.0,2327.0,465.4,27000.0,5400.0,5.0,1.0,245.0,1.0,1.0,1.0,400.0,400.0,26500.0,26500.0,0.0,1.0,5.0,-4.0,0.0,-1.0,-1927.0,-65.39999999999998,-500.0,21100.0,-5.0,0.0,-240.0,1,1
